"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J301";"RJ45_Amphenol_RJHSE538X";1;"RJ45_LED_Shielded";;;
2;"H104,H103,H102,H101";"MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom";4;"MountingHole_Pad";;;
3;"U101";"ESP32s";1;"ESP32s";;;
4;"R301";"R_0805_2012Metric";1;"680";;;
5;"J101,J202";"PinHeader_1x01_P2.54mm_Vertical";2;"Conn_01x01_Male";;;
6;"Converter301";"TXRX-AB";1;"TxRx-RS485";;;
7;"C204";"C_0603_1608Metric";1;"8.2nF";;;
8;"R203";"R_0805_2012Metric";1;"1.78k";;;
9;"R202";"R_0805_2012Metric";1;"10.2k";;;
10;"R201";"R_0805_2012Metric";1;"56.2k";;;
11;"L201";"INDPM128125X600N";1;"RLF12560T-7R8N8R2";;;
12;"J201";"PinHeader_1x01_P2.54mm_Vertical";1;"Connector_Conn_01x01_Male";;;
13;"IC201";"SOIC127P600X175-8N";1;"TPS54331DR";;;
14;"D202,D201";"DO-214AC";2;"SS34";;;
15;"C208,C206";"C_0805_2012Metric";2;"47uF";;;
16;"C207";"C_0805_2012Metric";1;"10pf";;;
17;"C205";"C_0805_2012Metric";1;"1nF";;;
18;"C203";"C_0805_2012Metric";1;"100nF";;;
19;"C202,C201";"C_0805_2012Metric";2;"10uF";;;
