Comment,Designator,Footprint,JLCPCB
330,R301,805,C17630
330,R302,805,C17630
8.2nF,C204,603,C27920
1.8k,R203,805,C17398
10k,R202,805,C17414
56k,R201,805,C17756 
IHLP2525CZER6R8M01,L201,-,C506575
TPS54331DR,IC201,SOIC127P600X175-8N,C9865
SS34,D201,DO-214AC,C8678
SS34,D202,DO-214AC,C8678
47uF,C206,805,C16780
47uF,C208,805,C16780
10pf,C207,805,C1785
1nF,C205,805,C46653
100nF,C203,805,C49678
22uf,C201,1206,C5672
22uf,C202,1206,C5673
MF-MSMF050-2,F201,FUSC4632X85N,C17313
RJHSE5384,J301,RJ45-TH,C464587
