Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,22uf,C_1206_3216Metric,67.95,43.67,180,top
C202,22uf,C_1206_3216Metric,67.95,47.02,180,top
C203,100nF,C_0805_2012Metric,62.06,58.98,0,top
C204,8.2nF,C_0603_1608Metric,70.841,53.0935,90,top
C205,1nF,C_0805_2012Metric,68.13,63.36,90,top
C206,47uF,C_0805_2012Metric,55.71,50.89,0,top
C207,10pf,C_0805_2012Metric,64.577,62.5475,180,top
C208,47uF,C_0805_2012Metric,55.81,54.8,0,top
D201,SS34,DO-214AC,61.595,52.9275,270,top
D202,SS34,DO-214AC,57.499,45.2755,180,top
F201,MF-MSMF050-2,FUSC4632X85N,58.55,92.55,180,top
IC201,TPS54331DR,SOIC127P600X175-8N,66.777,54.0435,90,top
L201,IHLP2525CZER6R8M01,IHLP2525CZER6R8M01,58.039,64.3255,0,top
R201,56k,R_0805_2012Metric,64.539,66.1035,180,top
R202,10k,R_0805_2012Metric,68.16,67.3975,270,top
R203,1.8k,R_0805_2012Metric,64.643,69.6595,180,top
R301,680,R_0805_2012Metric,70.58,71.9225,90,top
R302,680,R_0805_2012Metric,72.81,71.9425,90,top
J301,RJHSE5384,RJ45-TH,50,120,0,top
