Designator,Mid X,Mid Y,Layer,Rotation
C1,118.43,-53.34,top,0
C2,116.52,-61.595,top,0
D1,116.205,-57.405,top,90
D101,123.94,-52.705,top,180
D102,123.94,-49.53,top,180
D103,130.81,-59.4434,top,90
D104,136.391,-57.7088,top,0
D105,136.416,-61.341,top,180
F101,134.893,-49.7815,top,0
F102,134.915,-53.975,top,0
IC101,110.04,-57.15,top,0
IC102,122.555,-57.785,top,0
R0,141.58,-54.5084,top,90
R1,127.76,-53.975,top,0
R2,123.745,-62.23,top,180
R3,107.315,-50.675,top,270
R4,109.855,-50.675,top,270
R5,112.395,-50.675,top,90
R7,115.695,-50.165,top,0
R8,118.745,-50.165,top,0
R9,141.58,-50.3409,top,90
